column,fare,trip_miles,trip_seconds,duration_minutes,fare_per_mile,speed_mph,tips,tolls,extras,trip_total
fare,1.0,0.8,0.858,0.858,-0.019,0.013,0.577,0.044,0.08,0.673
trip_miles,0.8,1.0,0.65,0.65,-0.239,0.149,0.461,0.044,0.065,0.539
trip_seconds,0.858,0.65,1.0,1.0,0.015,-0.019,0.478,0.022,0.055,0.566
duration_minutes,0.858,0.65,1.0,1.0,0.015,-0.019,0.478,0.022,0.055,0.566
fare_per_mile,-0.019,-0.239,0.015,0.015,1.0,-0.023,-0.027,-0.004,-0.001,-0.015
speed_mph,0.013,0.149,-0.019,-0.019,-0.023,1.0,-0.003,0.001,0.001,0.007
tips,0.577,0.461,0.478,0.478,-0.027,-0.003,1.0,0.036,0.061,0.481
tolls,0.044,0.044,0.022,0.022,-0.004,0.001,0.036,1.0,0.016,0.046
extras,0.08,0.065,0.055,0.055,-0.001,0.001,0.061,0.016,1.0,0.784
trip_total,0.673,0.539,0.566,0.566,-0.015,0.007,0.481,0.046,0.784,1.0
