column,missing_count,missing_pct
pickup_census_tract,6903115,100.0
dropoff_census_tract,2718840,39.39
company,2668595,38.66
dropoff_community_area,1105107,16.01
dropoff_latitude,1092231,15.82
dropoff_longitude,1092231,15.82
pickup_longitude,996506,14.44
pickup_latitude,996506,14.44
pickup_community_area,996638,14.44
trip_end_timestamp,1345,0.02
trip_seconds,1600,0.02
taxi_id,855,0.01
trip_start_timestamp,0,0.0
trip_miles,97,0.0
tolls,130,0.0
tips,130,0.0
fare,130,0.0
extras,130,0.0
payment_type,0,0.0
trip_total,130,0.0
source_file,0,0.0
